id,title,description,status,needs_review,svg_path,bbox_x,bbox_y,bbox_w,bbox_h,crop_x,crop_y,crop_w,crop_h,center_x,center_y,tile,display_area
blacksmith-or-anvil-gag,Village blacksmith / anvil gag,"A village blacksmith scene with an anvil appears among the downtown-area vignettes, adding an old-town trade reference and a bit of slapstick.",draft,False,"m 1383.5483,481.36027 163.4763,41.2126 4.0658,-73.05663 72.1122,-6.09677 -91.0739,-87.21271 -18.0075,-35.09686 -67.507,1.37916 L 1444,342 l -92.8576,28.26888 z",1351.14,321.11,272.06,201.46,1264,234,447,376,1474.1,419.3,tiles-edited/blacksmith-or-anvil-gag.webp,31857.49
joseph-neys-building,Joseph Neys building,A building labeled for Joseph Neys appears in the older village/downtown portion of the illustration.,draft,False,"m 1723.4709,716.44638 130.2407,-10.08875 12.8612,-46.35234 -20.9946,-174.45166 -217.7554,1.0304 -10.0003,148.40539 72.552,68.35776 z",1617.82,485.55,248.75,230.9,1538,406,408,390,1744.7,595.6,tiles-edited/joseph-neys-building.webp,50007.13
high-school-statue,Basketball player statue,"A basketball-player figure or statue stands near the Harrisonburg High School area, calling attention to school spirit and athletics.",draft,False,"m 371.63635,554.63973 74.13969,21.59617 74.13969,21.59617 63.55705,-12.80973 25.36069,-11.62142 17.72626,-72.69694 13.5035,-44.23754 -47.57202,-21.33423 -5.58261,-46.14616 -55.17605,-5.35862 -91.50745,30.81894 -76.22319,-3.77152 z",364.0,383.63,276.06,214.2,276,295,453,391,499.0,491.1,tiles-edited/high-school-statue.webp,44605.45
bruce-street-house,c.1750 Bruce Street house,The c. 1750 Bruce Street house appears here as one of the historical-house references embedded in the drawing.,draft,False,"m 684.24435,513.58875 217.83646,19.0861 1.72584,-167.22319 -143.17221,-11.17749 4.29152,31.6676 -154.12312,1.12984 -4.77723,46.15771 35.29786,15.97102 20.98329,39.82865 z",606.03,354.27,297.78,178.4,511,259,488,369,777.3,443.5,tiles-edited/bruce-street-house.webp,39684.16
saved-by-jmu-character,“Saved by JMU” character,"A character labeled ""Saved by JMU"" appears as a small joke in the central part of the map, near James Madison University references.",draft,False,"m 579.59403,594.95431 -6.3563,193.41679 146.3325,2.5558 L 709.39671,729.54426 699.22319,589.90861 670,505 l -45.87349,10.90861 -9.38312,62.42617 z",573.24,505.0,146.33,285.93,482,414,329,468,643.9,669.3,tiles-edited/saved-by-jmu-character.webp,31540.31
radio-tower,Radio tower,"A radio tower rises above nearby buildings, a thin landmark that is easy to miss unless you scan the skyline carefully.",draft,False,"m 316.01247,576.09125 -14.5204,54.71539 13.36027,146.52718 -22.51458,13.36027 1.92583,26.74699 67.18807,-2.13708 -6.68013,-186.60462 -16.19865,-42.1265 z",292.34,576.09,69.11,241.35,215,499,224,396,330.8,707.6,tiles-edited/radio-tower.webp,11610.46
harrisonburg-baptist-church,Harrisonburg Baptist Church,Harrisonburg Baptist Church is shown as a prominent church building in the downtown/civic portion of the illustration.,draft,False,"m 148,790 12.65855,71.12525 109.84938,-41.5822 5.83404,-16.92458 33.76637,-38.25125 -7.256,-61.44274 -25.78346,-31.51851 -20.4099,-78.25302 6.20298,-144.88454 -48.1924,-34.18516 -52.96393,26.89037 -13.83743,72.697 12.62916,118.87243 z",147.87,414.08,162.24,447.05,4,271,450,734,214.8,648.1,tiles-edited/harrisonburg-baptist-church.webp,49553.51
asbury-united-methodist-church,Asbury United Methodist Church,Asbury United Methodist Church appears as another labeled church landmark in the central Harrisonburg scene.,draft,False,"M 718.3618,754.20861 832.71,751.13 l 22.26763,-41.54654 2.49328,-39.12651 5.72583,-136.71525 -67.43742,-0.96861 -10.65735,43.63816 L 703,579 Z",703.0,532.77,160.2,221.44,633,462,301,363,787.6,649.6,tiles-edited/asbury-united-methodist-church.webp,28435.11
municipal-building,Municipal Building,The Municipal Building appears as a civic landmark near the churches and downtown institutions in the center of the map.,draft,False,"m 359,795 41.98604,17.31458 48.89319,24.0783 91.53202,-47.53525 10.54875,-76.99655 -50.1779,-55.95776 -140.10196,36.0861 z",359.0,655.9,192.96,180.49,298,594,315,304,453.7,744.4,tiles-edited/municipal-building.webp,25614.61
valley-memorial-hospital-sign,Valley Memorial Hospital sign,A sign for Valley Memorial Hospital identifies the hospital area before the newer Rockingham Memorial Hospital reference elsewhere on the map.,draft,False,"m 146.27079,1010.6484 120.62915,-46.30929 46.53884,-5.05207 78.98522,-60.40176 -7.12434,-63.54521 -65.33695,13.75349 -32.89057,-30.14455 -134.89803,60.71526 z",146.27,818.95,246.15,191.7,68,740,403,349,259.0,907.6,tiles-edited/valley-memorial-hospital-sign.webp,28480.0
massanutten-bank-small-branch,Massanutten Bank & Trust small branch,A small Massanutten Bank & Trust branch is shown among the central business and civic landmarks.,draft,False,"M 147.44637,1192.7557 319.17749,1136.8682 312.54305,1035 l 8.71393,-66.90549 -65.72186,8.48461 -26.59536,47.61108 -78.12783,29.4794 z",147.45,968.09,173.81,224.67,76,897,317,367,237.3,1084.7,tiles-edited/massanutten-bank-small-branch.webp,26098.36
valley-civic-center,Valley Civic Center storefront,"The Valley Civic Center storefront appears in the downtown commercial strip, one of several labeled businesses and public venues.",draft,False,"m 330.94035,1054.8875 155.17785,-63.38269 87.42221,-41.43362 40.66125,-22.34753 22.52946,-13.75878 -10.54834,-89.73112 -68.30591,30.90332 -161.70768,70.45515 -9.97319,25.60282 -52.91691,6.51671 z",330.94,824.23,305.79,230.66,233,727,501,425,484.1,939.8,tiles-edited/valley-civic-center.webp,29847.87
james-madison-university-main-building,James Madison University main building,"The main James Madison University building is drawn as a major campus landmark, anchoring the JMU portion of the map.",draft,False,"m 543.24193,977.01587 0.0375,93.52193 53.28095,34.6622 96.89911,3.2244 138.39102,-72.8127 -38.7447,-33.2767 -34.84225,17.2432 -18.31457,-44.27949 -30.10468,-37.90651 22.30332,-48.11803 -80.936,-12.74458 -14.48054,42.20682 -59.0456,31.56901 z",543.24,876.53,288.61,231.89,451,784,473,417,662.6,1010.4,tiles-edited/james-madison-university-main-building.webp,39388.27
jmu-front-lawn-figures,JMU front-lawn figures,Small figures on the James Madison University front lawn add activity and humor to the campus scene.,draft,False,"M 511.07552,1084.9895 500.62915,1112 l -3.62305,65.4413 88.94821,24.0104 -4.50265,-47.8894 -22.66089,-68.71 z",497.01,1084.85,88.94,116.6,442,1029,199,228,539.9,1142.0,tiles-edited/jmu-front-lawn-figures.webp,7745.07
lowenbrau-truck,Löwenbräu truck,"A Löwenbräu truck drives near the JMU and hospital area, one of several delivery vehicles hidden in the illustration.",draft,False,"m 749.67485,997.62915 187.27417,2.72585 -11.94024,-68.72537 -9.07732,-51.54786 -49.15813,5.71044 -7.16871,38.15681 -121.56421,-0.18278 z",738.04,880.08,198.91,120.28,675,817,325,247,845.4,953.3,tiles-edited/lowenbrau-truck.webp,16307.36
rockingham-memorial-hospital,Rockingham Memorial Hospital,"Rockingham Memorial Hospital is labeled with its large hospital complex, one of the key institutional landmarks in the lower half of the map.",draft,False,"m 590.04041,1216.1158 192.9839,2.067 h 108.79077 l 48.866,-29.1814 -1.16861,-68.7766 -49.81439,-9.1919 -45.04286,2.2597 -58.40313,-25.4152 -57.44883,27.0716 -100.20202,0.2186 -45.8411,-4.8345 -4.44028,17.6371 14.58346,50.9724 z",578.32,1087.88,362.36,130.3,463,972,593,362,761.9,1162.3,tiles-edited/rockingham-memorial-hospital.webp,37343.66
hospital-red-construction-area,Red earth / construction area near hospital,A red-earth construction area near Rockingham Memorial Hospital suggests campus or hospital expansion work in progress.,draft,False,"m 540.55172,1294 79.2727,12.406 98.19304,-8.7648 45.70626,-20.2163 107.73608,39.9048 28.10181,-67.3665 -55.87703,-21.5598 -67.5475,22.6476 -51.46969,-11.0289 -115.23228,0.9156 -28.4808,-7.6984 -33.72246,21.2359 z",540.55,1228.4,359.01,88.93,426,1114,588,318,718.0,1269.8,tiles-edited/hospital-red-construction-area.webp,19891.38
valley-mall,Valley Mall,"Valley Mall is shown as a large retail landmark, capturing the commercial growth and shopping culture of Harrisonburg in the early 1980s.",draft,False,"m 511.54515,1304.8586 -15.13727,140.4401 95.66328,35.3796 50.17816,71.7787 62.70499,22.9576 34.48498,-105.035 39.0037,1.6045 70.56593,-13.0792 L 866,1356 l -34.6579,-7.7457 -24.21681,-12.0603 -56.56108,-39.3311 -91.62093,52.4868 -11.64457,-36.5676 -89.50122,-3.1515 z",496.41,1296.86,369.59,278.55,378,1178,606,516,674.1,1412.3,tiles-edited/valley-mall.webp,62155.54
zaggers-sign,Zaggers sign,"A small Zaggers sign appears near the Valley Mall area, one of the many local business labels scattered through the scene.",draft,False,"m 317.18998,1555.9278 259.65369,20.9947 6.0659,-72.0149 -68.3699,-33.8427 -200.34969,39.3093 z",314.19,1471.06,268.72,105.86,229,1386,439,276,460.8,1527.4,tiles-edited/zaggers-sign.webp,20275.89
rooster-lower-left,Large rooster at lower left,"A large rooster dominates the lower-left area, a playful nod to poultry and rural Rockingham County identity.",draft,False,"m 131.0861,1619.1775 144.77153,-2.457 5.26888,-228.898 -125.54834,5.9543 z",131.09,1387.82,150.04,231.36,57,1313,299,381,210.9,1507.1,tiles-edited/rooster-lower-left.webp,30638.91
swing-set-purcell-park,Swing set in Purcell Park,A small swing set in Purcell Park marks a recreational detail in the green park area.,draft,False,"m 297.36365,1471.912 140.09668,-11.4974 9.26888,-120.9543 -85.63444,5.2487 -66.54834,16.7004 z",294.55,1339.46,152.18,132.45,239,1284,263,243,369.9,1405.6,tiles-edited/swing-set-purcell-park.webp,17399.0
plane-in-park,Small airplane in Purcell Park,"A small airplane appears in the Purcell Park area, one of the whimsical objects hidden in the lower-left landscape.",draft,False,"m 461.00867,1324.4464 46.46415,-42.5378 11.72054,-69.9596 -159.99149,10.7245 -100.60063,-17.3536 -48.21357,-17.1318 -75.88841,25.8119 16.79819,161.407 69.28496,2.9924 57.97503,-11.4238 33.1631,-20.9669 z",134.5,1188.19,384.69,190.21,11,1065,632,437,302.7,1280.1,tiles-edited/plane-in-park.webp,50476.61
horse-and-bull-gag,Horse and bull gag,A horse-and-bull scene forms a compact comic gag near the lower-left side of the illustration.,draft,False,"m 324.40597,1213.0457 124.10196,-5.8172 17.01251,-59.4995 -45.97162,-2.2413 -23.23329,-16.8884 7.30448,-20.7056 -36.59356,-2.5738 -40.34631,10.4059 z",324.41,1105.32,141.11,107.73,269,1050,252,219,384.1,1164.8,tiles-edited/horse-and-bull-gag.webp,11303.57
downtown-row-wilson-jewelers,Downtown row including Wilson Jewelers,"A downtown storefront row includes Wilson Jewelers and neighboring businesses, representing the dense commercial fabric around Court Square.",draft,False,"m 854,682 60,-0.25 60,-0.25 174.5166,-2.15861 0.1087,-151.91608 -11.3431,-42.17099 -21.8403,1.72703 -16.1145,42.76215 -60.5198,-5.24783 -11.2944,-24.81025 -96.77367,-3.05579 -1.34319,48.47667 -64.7162,-0.38576 z",854.0,485.25,294.63,196.75,760,391,483,385,1008.6,597.6,tiles-edited/downtown-row-wilson-jewelers.webp,47659.28
jess-quick-lunch,Jess’ Quick Lunch,"Jess' Quick Lunch is marked in the downtown row, highlighting a familiar local eatery in the city-center business district.",draft,False,"m 855.68014,839.304 75.31458,-18.7461 9.0808,-25.35543 21.83346,24.43748 34.6984,-8.03911 37.56132,-35.71396 13.7037,43.49337 52.8302,-1.35898 4.2366,-99.9121 -156.62161,-1.32875 -97.45468,2.48846 z",850.86,716.78,254.08,122.52,769,635,417,286,972.7,767.3,tiles-edited/jess-quick-lunch.webp,24434.11
rockingham-national-bank-storefront,Rockingham National Bank storefront,"A Rockingham National Bank storefront appears among the downtown buildings, one of several banking references in the map.",draft,False,"m 676.304,867.71525 164.92447,-21.94901 1,-61.36556 -179.19335,7.72583 z",663.04,784.4,179.19,83.32,606,727,294,198,752.4,822.4,tiles-edited/rockingham-national-bank-storefront.webp,11873.12
court-house-downtown-building,Large courthouse-area building,"A large courthouse-area building anchors the downtown block near Court Square, the flag, and the surrounding storefronts.",draft,False,"M 1395,653.06 V 498 Z",1395.0,498.0,0.0,155.06,1340,443,110,266,1395.0,601.4,tiles-edited/court-house-downtown-building.webp,0.0
american-flag-court-square,American flag at Court Square,The American flag at Court Square marks the civic center of downtown Harrisonburg and helps orient the viewer in the courthouse area.,draft,False,"m 1155.4921,677.84705 h 164.4762 l 18.3704,19.26227 61.314,3.03908 c -9.8538,-76.66167 1.5759,-216.36801 1.4315,-216.27491 l -253.2266,2.72583 z",1147.86,483.78,253.37,216.37,1066,402,417,380,1276.2,583.7,tiles-edited/american-flag-court-square.webp,48261.49
confederate-monument,Confederate monument,The Confederate monument is shown at Court Square. The title should be reviewed for present-day interpretive language and historical accuracy.,draft,False,"m 940.66938,804.8595 -16.17202,23.65901 -7.41444,27.75027 L 930,916 l 9.05444,10.87349 10.49736,31.49207 4.37152,20.31498 95.73388,-4.56722 -16.942,-189.78817 -16.7874,28.62916 c 0,0 -5.6675,2.27416 -48.87232,14.68013 z",917.08,784.33,132.58,194.35,855,722,257,319,987.1,892.9,tiles-edited/confederate-monument.webp,17995.12
outfitters-yellow-arch,The Outfitters yellow arch,"A yellow arch marks The Outfitters area, a bright visual cue in the Rolling Hills Shopping Center section.",draft,False,"m 949.81193,1112.6344 30.69336,-24.8119 94.63181,-13.3603 37.2179,-63.7193 56.0412,-13.09168 8.326,-65.57847 -107.1449,-8.32017 3.5545,53.70966 -119.28813,4.22552 -7.55479,22.75904 -53.2783,2.6201 -11.90861,101.2763 z",881.1,923.75,295.62,188.88,787,829,484,378,1022.3,1021.1,tiles-edited/outfitters-yellow-arch.webp,28918.06
small-yellow-buggy,Small yellow buggy,"A small yellow buggy sits along the roadway, another transportation detail in the busy shopping-center area.",draft,False,"m 1103.2689,1087.7715 69.0053,-4.7715 65.7099,-104.0861 -121.3549,44.9437 z",1103.27,978.91,134.71,108.86,1048,923,245,220,1161.7,1039.8,tiles-edited/small-yellow-buggy.webp,7012.38
big-east-market-flower-road,East Market Street flower-shaped road,"The East Market Street area is drawn with a flower-like road or interchange shape, a distinctive piece of the map's playful cartography.",draft,False,"m 980.26888,1229.0457 41.26022,30.4007 81.1159,5.9947 46.3603,43.898 14.6946,-45.7012 22.414,-13.006 76.7788,-15.1345 -9.543,-123.5378 -11.874,-35.7536 c 0,0 -42.9951,3.9369 -63.5757,4.004 l -57.4536,13.2874 L 1078,1080.57 l -33.4007,3.4353 -44.4342,33.4007 z",980.27,1076.21,282.62,233.13,890,986,463,414,1125.2,1176.0,tiles-edited/big-east-market-flower-road.webp,46184.63
wooden-bank-building,Wooden bank building,"A wooden bank building is drawn near the cluster of financial institutions, likely a historical or stylized business reference.",draft,False,"m 921.34969,1375.0861 173.78741,-3.8629 -11.5888,-101.051 -93.71793,-7.9074 -11.39458,-21.5741 -9.56376,-38.0679 -63.89021,6.8522 1.00253,67.9278 1.00254,51.7046 z",904.98,1202.62,190.16,172.47,844,1142,312,294,988.1,1304.3,tiles-edited/wooden-bank-building.webp,23638.94
red-roof-savings-loan-bottom,Rockingham Savings & Loan bottom building,"A red-roofed Rockingham Savings & Loan building appears in the lower banking district, near the curved roads and commercial buildings.",draft,False,"m 807.52718,1490.2304 -15.56567,57.1756 215.67289,6.1423 109.956,-7.6344 4.9825,-110.6994 36.6854,-11.4516 3.8172,-45.0265 -87.2059,1.9086 -18.3145,21.0532 -124.05966,24.2257 z",791.96,1378.74,371.12,174.81,673,1260,609,412,992.0,1480.3,tiles-edited/red-roof-savings-loan-bottom.webp,41509.51
parus-associates-copyright,Parus & Associates copyright area,The Parus & Associates copyright area identifies the mapmaker/publisher credit printed near the lower part of the illustration.,draft,False,"m 784.05965,1575.5483 270.33575,0 -12.406,-23.3708 c 0,0 -260.46365,2.3251 -257.92975,-1.4921 z",781.53,1550.69,272.87,24.86,694,1463,448,200,918.6,1564.5,tiles-edited/parus-associates-copyright.webp,5871.25
rockingham-national-bank-curved-building,Rockingham National Bank curved building,A curved Rockingham National Bank building anchors part of the lower-right commercial corridor.,draft,False,"m 1103.4271,817.41125 86.1284,34.35499 156.0161,1.63444 39.9549,-16.16787 3.6914,-95.37518 -43.7961,-21.94902 -24.8119,-37.23376 -89.5447,-1.88861 -47.8752,18.97471 -67.4026,21.58874 z",1103.43,680.79,285.79,172.61,1012,589,469,356,1250.4,772.7,tiles-edited/rockingham-national-bank-curved-building.webp,40682.01
valley-national-bank,Valley National Bank,Valley National Bank is shown as a labeled bank building in the lower-right business district.,draft,False,"m 1490.4762,666.46753 -19.8927,16.22318 -64.8928,27.80574 7.2801,94.32189 -12.3921,41.14775 15.2828,77.41134 45.8206,-5.61319 29.5974,-69.55163 217.5215,-41.84803 4.4237,-82.35978 -123.4532,-61.36507 -53.4887,-2.8682 z",1400.58,659.77,312.64,263.61,1300,559,514,465,1538.6,769.0,tiles-edited/valley-national-bank.webp,50502.77
walmart-storefront,Walmart storefront,"A Walmart storefront appears among the lower-right retail buildings, capturing a recognizable national retailer in the local commercial landscape.",draft,False,"m 1405.4411,694.98604 60.3709,-16.22318 14.3145,-121.0861 -79.4569,-2.86292 z",1400.67,554.81,79.46,140.18,1345,499,191,251,1437.2,618.6,tiles-edited/walmart-storefront.webp,9100.92
rockingham-national-bank-red-building,Rockingham National Bank red building,A red Rockingham National Bank building appears near the lower-right banking and retail cluster.,draft,False,"m 1733.7153,811.68542 64.4745,23.07336 46.3427,-6.5101 38.7082,-5.5558 10.0792,-45.63661 -5.1371,-58.78739 -148.8331,7.95431 z",1733.72,718.27,159.6,116.49,1678,663,271,227,1814.8,774.5,tiles-edited/rockingham-national-bank-red-building.webp,15958.02
rockingham-savings-loan-upper,Rockingham Savings & Loan upper building,Rockingham Savings & Loan appears as an upper building in the lower-right commercial area.,draft,False,"m 1671.2881,912.05098 13.0845,38.17221 51.6625,18.08081 -6.7855,113.5166 72.8929,6.7768 12.8198,-129.30832 43.3576,-24.33477 L 1858,832 l -196.5213,-12.64875 -54.2396,14.38516 -6.6582,45.32095 z",1600.58,819.35,257.74,269.25,1514,733,431,442,1750.0,919.7,tiles-edited/rockingham-savings-loan-upper.webp,38324.75
dairy-truck,Dairy truck,"A dairy truck is drawn near the lower-right roadway, a local delivery detail tied to the region's food and agriculture economy.",draft,False,"m 1463.4598,920.70736 3.5647,27.55623 112.0431,58.59191 100.5914,5.1507 -2.8629,-43.65122 -8.3709,-55.34969 -106.0765,-46.13251 -79.5228,25.30471 z",1463.46,866.87,216.2,145.14,1394,797,355,285,1578.7,941.4,tiles-edited/dairy-truck.webp,21792.72
hess-and-miller-sign,Hess & Miller Inc. sign,The Hess & Miller Inc. sign labels a business in the lower-right industrial or commercial cluster.,draft,False,"m 1080.2145,911.97017 112.0159,13.36027 -3.3515,63.23016 35.775,-10.25132 7.1459,-45.56061 61.5412,-59.87518 -209.2179,-35.58346 z",1080.21,837.29,213.13,151.27,1012,769,350,288,1177.1,895.7,tiles-edited/hess-and-miller-sign.webp,14949.83
hess-and-miller-building,Hess & Miller building,"The Hess & Miller building sits beside its sign, adding another local business landmark to the lower-right edge.",draft,False,"m 1265.253,1104.406 182.6099,0.8629 3.8067,-71.508 1.2835,-75.55005 -56.714,-43.06319 -20.0278,-21.07332 -59.9213,1.67265 -49.8738,16.22318 -21.599,77.85234 13.4814,63.27409 z",1244.82,894.07,208.13,211.2,1177,827,343,346,1350.1,1006.3,tiles-edited/hess-and-miller-building.webp,37895.02
lite-beer-truck,Lite beer truck,"A Lite beer truck appears along the lower-right roadway, one of the map's many tiny vehicle and delivery details.",draft,False,"m 1473.6643,1011.1073 -1.1314,60.8369 84.7562,44.6138 81.8932,7.3958 17.0005,-19.3246 -10.0914,-74.7312 -121.8947,-39.08078 z",1472.53,990.82,183.65,133.13,1414,932,301,250,1564.8,1058.9,tiles-edited/lite-beer-truck.webp,17742.59
welcome-to-harrisonburg-sign,Welcome to Harrisonburg sign and eagle,"The Welcome to Harrisonburg sign frames the lower-right entrance to the illustrated city scene, with an eagle flying beneath it.",draft,False,"m 1270.8331,1194.2742 132.2232,-1.9086 8.543,-65.0053 -132.1775,-0.9087 z",1270.83,1126.45,140.77,67.82,1215,1071,252,179,1340.8,1160.1,tiles-edited/welcome-to-harrisonburg-sign.webp,8775.66
racehorse-rider-scene,Racehorse and rider scene,"A racehorse and rider scene appears near the bottom edge, another small action vignette in the map's outer band.",draft,False,"m 1679.7451,1202.3708 16.5958,6.8731 -16.8048,32.6392 103.4376,4.9644 92.9402,9.736 L 1886,1094 l -211.1178,6.8629 -42.6823,30.8643 -102.8036,69.0364 25.0734,59.4934 67.4092,0.6404 z",1529.4,1094.0,356.6,166.9,1415,980,585,395,1729.6,1179.0,tiles-edited/racehorse-rider-scene.webp,44188.93
city-seal-of-harrisonburg,City of Harrisonburg seal,The City Seal of Harrisonburg is printed as an official civic emblem in the lower-right portion of the map.,draft,False,"m 1507.4644,1383.0644 -11.526,16.2256 19.4377,62.2126 -7.4244,43.2205 69.5211,29.4491 74.0072,-15.7522 10.0385,11.986 53.3097,8.0113 51.4758,-11.6159 9.543,-48.6961 23.1573,-124.0596 -11.0202,-41.0212 -101.7733,-58.4942 -52.4623,16.7365 -24.3954,-4.1701 -62.9842,-3.0789 -26.1827,31.492 -16.2232,53.5696 z",1495.94,1254.53,303.06,283.89,1399,1158,497,477,1646.7,1398.8,tiles-edited/city-seal-of-harrisonburg.webp,70019.48
tree-trunk-speech-gag,Tree-trunk speech gag,"A tree-trunk speech gag appears near the lower-right corner, one of the more hidden cartoon captions in the map.",draft,False,"m 1397.4199,1465.6556 97.9543,8.406 19.0861,-328.9356 -70.2794,6.9559 -41.2737,45.9471 -89.9433,-2.7225 6.4416,62.1702 92.4483,63.0543 z",1312.96,1145.13,201.5,328.93,1207,1040,413,540,1438.0,1296.2,tiles-edited/tree-trunk-speech-gag.webp,39078.05
hunter-bottom-right,Hunter at lower right,"A hunter figure appears near the bottom-right edge, part of a small outdoor or sporting vignette.",draft,False,"m 1358.4271,1573.5483 176.0808,-0.9543 2.7629,-20.913 3.0034,-29.9605 -73.3576,-19.8604 -34.565,-17.4541 -58.5642,-10.6802 z",1358.43,1473.73,181.84,99.82,1300,1415,299,217,1441.9,1533.3,tiles-edited/hunter-bottom-right.webp,13383.7
cannon-far-right,Cannon at far right,"A cannon is drawn near the far-right edge, adding a historical or military-reference detail to the outer scene.",draft,False,"m 1788.4622,1506.2636 103.457,5.6344 13.9947,-140.2179 L 1818,1360 Z",1788.46,1360.0,117.45,151.9,1733,1305,228,262,1850.4,1439.2,tiles-edited/cannon-far-right.webp,13894.49
